geometry,start
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",782
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",565
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",560
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",534
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",495
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",457
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",378
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",344
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",338
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",306
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",302
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",284
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",260
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",260
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",260
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",259
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",254
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",253
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",250
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",249
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",245
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",243
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",240
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",234
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",226
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",226
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",224
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",219
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",218
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",215
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",213
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",213
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",212
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",212
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",210
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",209
