geometry,start,end
"{""type"": ""Point"", ""coordinates"": [-73.99098507,40.7575699]}",897,882
"{""type"": ""Point"", ""coordinates"": [-73.99974372,40.71602118]}",569,576
"{""type"": ""Point"", ""coordinates"": [-73.967416,40.756014]}",514,538
"{""type"": ""Point"", ""coordinates"": [-73.979382,40.688226]}",492,440
"{""type"": ""Point"", ""coordinates"": [-73.977706,40.751873]}",490,522
"{""type"": ""Point"", ""coordinates"": [-73.99468482,40.75058535]}",430,411
"{""type"": ""Point"", ""coordinates"": [-73.98955109,40.7403432]}",402,333
"{""type"": ""Point"", ""coordinates"": [-73.993934,40.751551]}",360,329
"{""type"": ""Point"", ""coordinates"": [-73.99415556,40.74173969]}",347,341
"{""type"": ""Point"", ""coordinates"": [-73.99009296,40.73704984]}",345,339
"{""type"": ""Point"", ""coordinates"": [-73.97498696,40.75510267]}",308,310
"{""type"": ""Point"", ""coordinates"": [-73.97791,40.751581]}",295,324
"{""type"": ""Point"", ""coordinates"": [-73.99074142,40.73454567]}",280,277
"{""type"": ""Point"", ""coordinates"": [-74.00138497,40.74102151]}",275,270
"{""type"": ""Point"", ""coordinates"": [-73.98848395,40.74901271]}",271,262
"{""type"": ""Point"", ""coordinates"": [-73.98658032,40.75513557]}",268,262
"{""type"": ""Point"", ""coordinates"": [-73.98918629,40.74286877]}",266,267
"{""type"": ""Point"", ""coordinates"": [-73.9916,40.749156]}",266,256
"{""type"": ""Point"", ""coordinates"": [-73.99093085,40.75019995]}",261,258
"{""type"": ""Point"", ""coordinates"": [-74.007756,40.746745]}",260,261
"{""type"": ""Point"", ""coordinates"": [-73.9907527,40.72951496]}",254,246
"{""type"": ""Point"", ""coordinates"": [-73.99102628,40.73020661]}",251,240
"{""type"": ""Point"", ""coordinates"": [-73.98192338,40.7652654]}",244,292
"{""type"": ""Point"", ""coordinates"": [-73.98165557,40.73221853]}",239,240
"{""type"": ""Point"", ""coordinates"": [-73.99200509,40.73492695]}",236,237
"{""type"": ""Point"", ""coordinates"": [-73.983293,40.741459]}",235,233
"{""type"": ""Point"", ""coordinates"": [-73.98602213,40.74096374]}",232,231
"{""type"": ""Point"", ""coordinates"": [-74.00711384,40.73291553]}",230,245
"{""type"": ""Point"", ""coordinates"": [-73.98452729,40.76068327]}",226,226
"{""type"": ""Point"", ""coordinates"": [-73.98191841,40.76915505]}",225,218
"{""type"": ""Point"", ""coordinates"": [-74.01322069,40.71754834]}",224,183
"{""type"": ""Point"", ""coordinates"": [-73.98194829,40.7457121]}",224,225
"{""type"": ""Point"", ""coordinates"": [-73.97805914,40.75724568]}",219,219
"{""type"": ""Point"", ""coordinates"": [-73.99379025,40.72743423]}",219,208
"{""type"": ""Point"", ""coordinates"": [-73.98855723,40.7462009]}",217,214
"{""type"": ""Point"", ""coordinates"": [-73.993915,40.746647]}",215,210
"{""type"": ""Point"", ""coordinates"": [-73.98564945,40.72779126]}",213,189
"{""type"": ""Point"", ""coordinates"": [-73.97648516,40.75992262]}",209,207
"{""type"": ""Point"", ""coordinates"": [-73.99456405,40.73971301]}",206,206
"{""type"": ""Point"", ""coordinates"": [-74.00214988,40.73038599]}",203,185
"{""type"": ""Point"", ""coordinates"": [-73.97982001,40.76132983]}",202,198
"{""type"": ""Point"", ""coordinates"": [-73.98142006,40.72740794]}",200,201
"{""type"": ""Point"", ""coordinates"": [-73.98067966,40.72966729]}",195,217
"{""type"": ""Point"", ""coordinates"": [-73.97992194,40.75216528]}",195,192
"{""type"": ""Point"", ""coordinates"": [-74.00197139,40.7454973]}",194,204
"{""type"": ""Point"", ""coordinates"": [-73.95818491,40.76500525]}",193,189
"{""type"": ""Point"", ""coordinates"": [-73.97449784,40.74322681]}",192,212
"{""type"": ""Point"", ""coordinates"": [-73.97283406,40.78499979]}",191,218
"{""type"": ""Point"", ""coordinates"": [-73.98808416,40.74854862]}",190,188
"{""type"": ""Point"", ""coordinates"": [-73.99238967,40.73726186]}",189,189
"{""type"": ""Point"", ""coordinates"": [-73.97371465,40.7643971]}",189,193
"{""type"": ""Point"", ""coordinates"": [-73.9912551,40.76019252]}",187,193
"{""type"": ""Point"", ""coordinates"": [-74.00277668,40.76087502]}",186,166
"{""type"": ""Point"", ""coordinates"": [-73.98683077,40.7451677]}",185,185
"{""type"": ""Point"", ""coordinates"": [-74.01030064,40.72019521]}",185,184
"{""type"": ""Point"", ""coordinates"": [-73.97706058,40.74290902]}",185,187
"{""type"": ""Point"", ""coordinates"": [-74.01361706,40.70463334]}",184,166
"{""type"": ""Point"", ""coordinates"": [-73.99144871,40.74395411]}",183,180
"{""type"": ""Point"", ""coordinates"": [-73.99724901,40.72210379]}",182,181
"{""type"": ""Point"", ""coordinates"": [-73.97809472,40.736502]}",182,183
"{""type"": ""Point"", ""coordinates"": [-73.99529885,40.74487634]}",181,179
"{""type"": ""Point"", ""coordinates"": [-74.00218427,40.75018156]}",181,195
"{""type"": ""Point"", ""coordinates"": [-74.00681753,40.74334935]}",181,177
"{""type"": ""Point"", ""coordinates"": [-73.99723551,40.74734825]}",180,167
"{""type"": ""Point"", ""coordinates"": [-73.9734419,40.74780373]}",179,177
"{""type"": ""Point"", ""coordinates"": [-74.00566443,40.72243797]}",179,131
"{""type"": ""Point"", ""coordinates"": [-73.99931783,40.73935542]}",179,156
"{""type"": ""Point"", ""coordinates"": [-74.01658354,40.7153379]}",178,184
"{""type"": ""Point"", ""coordinates"": [-74.00297088,40.72710258]}",177,167
"{""type"": ""Point"", ""coordinates"": [-74.00674436,40.73172428]}",177,167
"{""type"": ""Point"", ""coordinates"": [-73.98205027,40.73587678]}",175,186
"{""type"": ""Point"", ""coordinates"": [-73.99600983,40.72430527]}",174,163
"{""type"": ""Point"", ""coordinates"": [-73.99431,40.735445]}",173,174
"{""type"": ""Point"", ""coordinates"": [-73.97573881,40.73314259]}",173,189
"{""type"": ""Point"", ""coordinates"": [-73.97973776,40.73912601]}",172,171
"{""type"": ""Point"", ""coordinates"": [-74.00507033,40.7394482]}",172,148
"{""type"": ""Point"", ""coordinates"": [-73.98490707,40.74765947]}",166,185
"{""type"": ""Point"", ""coordinates"": [-73.99490342,40.73143724]}",163,169
"{""type"": ""Point"", ""coordinates"": [-73.9851615,40.76370739]}",163,161
"{""type"": ""Point"", ""coordinates"": [-73.98054421,40.73381219]}",163,152
"{""type"": ""Point"", ""coordinates"": [-73.98978041,40.7262807]}",163,153
"{""type"": ""Point"", ""coordinates"": [-73.97604882,40.7489006]}",162,163
"{""type"": ""Point"", ""coordinates"": [-73.97634151,40.76590936]}",160,161
"{""type"": ""Point"", ""coordinates"": [-73.98303529,40.74444921]}",159,162
"{""type"": ""Point"", ""coordinates"": [-74.01043382,40.70905623]}",159,160
"{""type"": ""Point"", ""coordinates"": [-74.015756,40.711512]}",159,177
"{""type"": ""Point"", ""coordinates"": [-73.986923,40.734232]}",158,178
"{""type"": ""Point"", ""coordinates"": [-73.99662137,40.72706363]}",158,149
"{""type"": ""Point"", ""coordinates"": [-74.00935516,40.71334184]}",157,175
"{""type"": ""Point"", ""coordinates"": [-73.99046034,40.77149671]}",157,156
"{""type"": ""Point"", ""coordinates"": [-73.98426726,40.72953837]}",156,156
"{""type"": ""Point"", ""coordinates"": [-73.99994661,40.73781509]}",155,148
"{""type"": ""Point"", ""coordinates"": [-74.008591,40.728846]}",153,162
"{""type"": ""Point"", ""coordinates"": [-73.98713956,40.7284186]}",153,154
"{""type"": ""Point"", ""coordinates"": [-73.98672378,40.73047309]}",153,154
"{""type"": ""Point"", ""coordinates"": [-73.98316936,40.75527307]}",153,150
"{""type"": ""Point"", ""coordinates"": [-74.00247214,40.71939226]}",153,147
"{""type"": ""Point"", ""coordinates"": [-73.98025185,40.75412081]}",152,152
"{""type"": ""Point"", ""coordinates"": [-74.0046073,40.71273266]}",151,148
"{""type"": ""Point"", ""coordinates"": [-73.98990025,40.71427487]}",150,151
"{""type"": ""Point"", ""coordinates"": [-73.98379855,40.72621788]}",150,177
"{""type"": ""Point"", ""coordinates"": [-73.99726235,40.74238787]}",150,149
"{""type"": ""Point"", ""coordinates"": [-73.99915362,40.74475148]}",150,151
"{""type"": ""Point"", ""coordinates"": [-73.97898475,40.7770575]}",150,185
"{""type"": ""Point"", ""coordinates"": [-73.98261428,40.77163851]}",150,160
"{""type"": ""Point"", ""coordinates"": [-73.99810231,40.72917025]}",150,130
"{""type"": ""Point"", ""coordinates"": [-73.98788205,40.76227205]}",149,150
"{""type"": ""Point"", ""coordinates"": [-73.97966069,40.74394314]}",148,141
"{""type"": ""Point"", ""coordinates"": [-74.00293877,40.73401143]}",147,149
"{""type"": ""Point"", ""coordinates"": [-73.98093045,40.77966809]}",147,159
"{""type"": ""Point"", ""coordinates"": [-73.9535166,40.77140426]}",146,143
"{""type"": ""Point"", ""coordinates"": [-73.98751968,40.73827428]}",145,140
"{""type"": ""Point"", ""coordinates"": [-73.99301222,40.76269882]}",144,146
"{""type"": ""Point"", ""coordinates"": [-73.99884222,40.76030096]}",144,143
"{""type"": ""Point"", ""coordinates"": [-74.0021163,40.75594159]}",144,130
"{""type"": ""Point"", ""coordinates"": [-73.99404649,40.72903917]}",144,135
"{""type"": ""Point"", ""coordinates"": [-74.00367558,40.74353373]}",144,136
"{""type"": ""Point"", ""coordinates"": [-73.98215353,40.74311555]}",143,136
"{""type"": ""Point"", ""coordinates"": [-73.96905301,40.75001986]}",143,142
"{""type"": ""Point"", ""coordinates"": [-73.94552579,40.7862586]}",142,129
"{""type"": ""Point"", ""coordinates"": [-73.95850939,40.71745169]}",142,124
"{""type"": ""Point"", ""coordinates"": [-73.98797393,40.73536706]}",142,140
"{""type"": ""Point"", ""coordinates"": [-73.98859651,40.75929124]}",142,149
"{""type"": ""Point"", ""coordinates"": [-73.96724467,40.76095756]}",141,144
"{""type"": ""Point"", ""coordinates"": [-73.989111,40.722055]}",141,147
"{""type"": ""Point"", ""coordinates"": [-73.99069656,40.72502876]}",141,139
"{""type"": ""Point"", ""coordinates"": [-73.98185424,40.72453734]}",141,137
"{""type"": ""Point"", ""coordinates"": [-73.97121214,40.744219]}",141,112
"{""type"": ""Point"", ""coordinates"": [-74.00451887,40.74691959]}",140,135
"{""type"": ""Point"", ""coordinates"": [-73.98889957,40.73223272]}",140,151
"{""type"": ""Point"", ""coordinates"": [-73.98765428,40.75097711]}",139,139
"{""type"": ""Point"", ""coordinates"": [-73.98257732,40.75668721]}",139,138
"{""type"": ""Point"", ""coordinates"": [-73.98268129,40.76344058]}",138,132
"{""type"": ""Point"", ""coordinates"": [-73.98583621,40.72307749]}",138,137
"{""type"": ""Point"", ""coordinates"": [-73.97738662,40.7381765]}",138,144
"{""type"": ""Point"", ""coordinates"": [-73.976806,40.739445]}",137,141
"{""type"": ""Point"", ""coordinates"": [-73.98368779,40.72217444]}",137,157
"{""type"": ""Point"", ""coordinates"": [-73.98721619,40.75299641]}",137,134
"{""type"": ""Point"", ""coordinates"": [-73.99906065,40.73047747]}",136,128
"{""type"": ""Point"", ""coordinates"": [-74.005226,40.751396]}",136,140
"{""type"": ""Point"", ""coordinates"": [-74.009447,40.711066]}",132,135
"{""type"": ""Point"", ""coordinates"": [-73.99266288,40.71893904]}",132,134
"{""type"": ""Point"", ""coordinates"": [-73.97950418,40.72746421]}",131,118
"{""type"": ""Point"", ""coordinates"": [-73.99800419,40.73532427]}",131,119
"{""type"": ""Point"", ""coordinates"": [-73.96024116,40.71534825]}",131,125
"{""type"": ""Point"", ""coordinates"": [-73.95348296,40.76663814]}",130,130
"{""type"": ""Point"", ""coordinates"": [-74.00165856,40.72494672]}",130,116
"{""type"": ""Point"", ""coordinates"": [-73.99392888,40.76727216]}",130,139
"{""type"": ""Point"", ""coordinates"": [-73.9979009,40.75660359]}",130,134
"{""type"": ""Point"", ""coordinates"": [-73.97906899,40.76674056]}",129,128
"{""type"": ""Point"", ""coordinates"": [-74.00004031,40.74345335]}",129,131
"{""type"": ""Point"", ""coordinates"": [-73.99923384,40.74937024]}",129,128
